Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Zipcode,Poverty Rate,Unemployment Rate
ZCTA5 01053,62222.0,1658.0,53.2,31413.0,309.0,26.0,01053,18.636911942098916,1.5681544028950543
ZCTA5 01054,87174.0,1997.0,50.9,46486.0,120.0,40.0,01054,6.009013520280421,2.0030045067601403
ZCTA5 01056,67715.0,21331.0,44.4,33247.0,1195.0,605.0,01056,5.602175237916647,2.836247714593784
ZCTA5 01057,78986.0,8801.0,46.3,35989.0,501.0,338.0,01057,5.692534939211453,3.8404726735598227
ZCTA5 01060,57485.0,15729.0,34.3,36152.0,1962.0,500.0,01060,12.473774556551593,3.178841630109988
ZCTA5 01062,73438.0,10587.0,45.2,38373.0,1485.0,371.0,01062,14.026636440918107,3.5042977236233117
ZCTA5 01063,-666666666.0,574.0,20.5,3532.0,0.0,24.0,01063,0.0,4.181184668989547
ZCTA5 01066,-666666666.0,9.0,-666666666.0,,0.0,0.0,01066,0.0,0.0
ZCTA5 01068,85938.0,1849.0,46.7,35289.0,70.0,52.0,01068,3.785830178474851,2.8123309897241753
ZCTA5 01069,59211.0,8919.0,47.1,32833.0,632.0,351.0,01069,7.085996187913443,3.9354187689202824
ZCTA5 01070,57000.0,637.0,50.2,30342.0,51.0,20.0,01070,8.006279434850864,3.1397174254317113
ZCTA5 01071,67132.0,1206.0,47.9,32683.0,54.0,28.0,01071,4.477611940298507,2.3217247097844114
ZCTA5 01072,72000.0,1490.0,45.6,36574.0,182.0,49.0,01072,12.21476510067114,3.2885906040268456
ZCTA5 01073,89423.0,6090.0,46.4,44641.0,278.0,211.0,01073,4.564860426929393,3.464696223316913
ZCTA5 01074,61603.0,477.0,33.7,18494.0,0.0,0.0,01074,0.0,0.0
ZCTA5 01075,66681.0,17755.0,40.3,32046.0,1602.0,633.0,01075,9.022810475922276,3.5651929034074907
ZCTA5 01077,76737.0,9711.0,46.6,38002.0,697.0,247.0,01077,7.17742765935537,2.5435073627844713
ZCTA5 01079,27105.0,480.0,46.3,31721.0,55.0,0.0,01079,11.458333333333334,0.0
ZCTA5 01080,49844.0,2532.0,32.7,23355.0,846.0,123.0,01080,33.41232227488152,4.85781990521327
ZCTA5 01081,50465.0,1827.0,43.7,26913.0,94.0,39.0,01081,5.145046524356869,2.134646962233169
ZCTA5 01082,51768.0,10637.0,41.8,27830.0,1429.0,447.0,01082,13.434238977155212,4.202312682147222
ZCTA5 01083,65547.0,3182.0,36.9,24012.0,290.0,81.0,01083,9.113764927718416,2.545568824638592
ZCTA5 01084,90625.0,183.0,53.6,43879.0,0.0,7.0,01084,0.0,3.8251366120218577
ZCTA5 01085,62423.0,41652.0,39.1,29630.0,3252.0,1452.0,01085,7.807548256986459,3.4860270815326997
ZCTA5 01086,-666666666.0,683.0,19.0,2892.0,0.0,0.0,01086,0.0,0.0
ZCTA5 01088,51406.0,399.0,53.3,32106.0,32.0,16.0,01088,8.020050125313283,4.010025062656641
ZCTA5 01089,51735.0,28671.0,39.2,29344.0,3453.0,1188.0,01089,12.043528303861045,4.14355969446479
ZCTA5 01092,75799.0,1133.0,47.0,33033.0,172.0,37.0,01092,15.180935569285085,3.265666372462489
ZCTA5 01093,103750.0,348.0,52.6,54538.0,21.0,0.0,01093,6.0344827586206895,0.0
ZCTA5 01094,21250.0,327.0,54.6,32228.0,29.0,0.0,01094,8.868501529051988,0.0
ZCTA5 01095,104128.0,14659.0,47.2,45406.0,573.0,304.0,01095,3.9088614503035677,2.073811310457739
ZCTA5 01096,77083.0,2607.0,44.3,36844.0,214.0,79.0,01096,8.20866896816264,3.0303030303030303
ZCTA5 01097,-666666666.0,54.0,17.1,9161.0,40.0,0.0,01097,74.07407407407408,0.0
ZCTA5 01098,76563.0,1186.0,50.4,43006.0,87.0,10.0,01098,7.335581787521079,0.8431703204047217
ZCTA5 01103,16720.0,2409.0,33.6,21340.0,1337.0,138.0,01103,55.50020755500208,5.72851805728518
ZCTA5 01104,30053.0,23635.0,36.0,19687.0,6815.0,1199.0,01104,28.834355828220858,5.072984979902687
ZCTA5 01105,17569.0,11601.0,32.3,15259.0,6021.0,713.0,01105,51.90069821567106,6.146021894664253
ZCTA5 01106,111231.0,16048.0,46.2,55504.0,576.0,368.0,01106,3.5892323030907276,2.293120638085743
ZCTA5 01107,26772.0,11304.0,28.8,15178.0,4784.0,1092.0,01107,42.32130219391366,9.660297239915074
ZCTA5 01108,38499.0,28925.0,31.7,18875.0,8877.0,1361.0,01108,30.68971477960242,4.705272255834053
ZCTA5 01109,35191.0,30125.0,27.9,15703.0,8071.0,1351.0,01109,26.79170124481328,4.484647302904564
ZCTA5 01118,61112.0,14774.0,36.8,29498.0,2145.0,433.0,01118,14.518749153919048,2.930824421280628
ZCTA5 01119,47439.0,13236.0,34.7,22681.0,2107.0,647.0,01119,15.918706557872468,4.8881837413115745
ZCTA5 01128,65977.0,2798.0,48.3,35083.0,55.0,102.0,01128,1.9656897784131522,3.645461043602573
ZCTA5 01129,63895.0,6750.0,42.9,30597.0,699.0,228.0,01129,10.355555555555556,3.3777777777777778
ZCTA5 01151,40360.0,8884.0,32.7,18717.0,1936.0,453.0,01151,21.79198559207564,5.09905447996398
ZCTA5 01199,-666666666.0,0.0,-666666666.0,-666666666.0,0.0,0.0,01199,,
ZCTA5 01201,47614.0,44775.0,44.0,30286.0,6415.0,1893.0,01201,14.32719151312116,4.227805695142378
ZCTA5 01220,49777.0,8211.0,45.8,28827.0,910.0,294.0,01220,11.082693947144074,3.580562659846547
ZCTA5 01222,74583.0,818.0,49.2,39128.0,36.0,13.0,01222,4.400977995110025,1.5892420537897312
ZCTA5 01223,77857.0,2351.0,51.8,39393.0,141.0,94.0,01223,5.997447894512973,3.998298596341982
ZCTA5 01224,38446.0,209.0,49.8,22355.0,21.0,36.0,01224,10.047846889952153,17.22488038277512
ZCTA5 01225,61512.0,3169.0,48.2,33984.0,126.0,175.0,01225,3.9760176711896498,5.52224676554118
ZCTA5 01226,61063.0,6839.0,48.9,34994.0,678.0,241.0,01226,9.91373007749671,3.5239070039479454
ZCTA5 01229,29000.0,86.0,67.4,18577.0,5.0,0.0,01229,5.813953488372093,0.0
ZCTA5 01230,65214.0,8359.0,49.9,37450.0,406.0,193.0,01230,4.857040315827252,2.3088886230410335
ZCTA5 01235,63000.0,2671.0,49.6,35609.0,208.0,77.0,01235,7.787345563459379,2.8828154249344813
ZCTA5 01236,57014.0,1197.0,42.2,32948.0,24.0,42.0,01236,2.0050125313283207,3.508771929824561
ZCTA5 01237,84615.0,2662.0,46.9,33634.0,151.0,126.0,01237,5.672426746806912,4.73328324567994
ZCTA5 01238,67708.0,5917.0,46.5,33536.0,452.0,108.0,01238,7.639006253168835,1.8252492817306067
ZCTA5 01240,68948.0,4493.0,57.2,53659.0,163.0,100.0,01240,3.6278655686623638,2.2256843979523704
ZCTA5 01242,81172.0,475.0,33.8,29336.0,4.0,0.0,01242,0.8421052631578947,0.0
ZCTA5 01243,71979.0,333.0,57.3,51112.0,25.0,2.0,01243,7.5075075075075075,0.6006006006006006
ZCTA5 01244,55556.0,108.0,60.8,41983.0,10.0,0.0,01244,9.25925925925926,0.0
ZCTA5 01245,69821.0,803.0,55.8,49853.0,73.0,14.0,01245,9.090909090909092,1.7434620174346203
ZCTA5 01247,40928.0,15703.0,43.6,24982.0,2434.0,754.0,01247,15.500222887346366,4.801630261733426
ZCTA5 01253,74554.0,742.0,59.8,45803.0,39.0,18.0,01253,5.256064690026954,2.4258760107816713
ZCTA5 01254,92083.0,977.0,58.3,67240.0,71.0,22.0,01254,7.267144319344934,2.2517911975435005
ZCTA5 01255,68636.0,859.0,50.2,36882.0,33.0,22.0,01255,3.8416763678696157,2.561117578579744
ZCTA5 01256,55375.0,764.0,47.3,29340.0,63.0,23.0,01256,8.24607329842932,3.0104712041884816
ZCTA5 01257,59500.0,2138.0,53.1,46014.0,223.0,52.0,01257,10.430308699719363,2.432179607109448
ZCTA5 01258,57917.0,357.0,61.7,46676.0,28.0,0.0,01258,7.8431372549019605,0.0
ZCTA5 01259,62727.0,506.0,60.6,58770.0,26.0,10.0,01259,5.138339920948616,1.976284584980237
ZCTA5 01260,112756.0,447.0,32.9,28091.0,24.0,26.0,01260,5.369127516778524,5.8165548098434
ZCTA5 01262,36042.0,1110.0,56.9,38369.0,141.0,30.0,01262,12.702702702702704,2.7027027027027026
ZCTA5 01264,80000.0,205.0,58.4,49908.0,53.0,17.0,01264,25.853658536585368,8.292682926829269
ZCTA5 01266,74107.0,1360.0,55.5,45261.0,79.0,15.0,01266,5.8088235294117645,1.1029411764705883
ZCTA5 01267,78068.0,7853.0,31.9,33267.0,589.0,249.0,01267,7.500318349675283,3.170762765821979
ZCTA5 01270,80000.0,813.0,50.1,45778.0,50.0,18.0,01270,6.150061500615006,2.2140221402214024
ZCTA5 01301,48477.0,17715.0,44.1,30169.0,2220.0,502.0,01301,12.531752751905165,2.8337567033587354
